OBJECTID *,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
302,2,1554.589099,4.767317,4.929098,0.161781,4.848208,0.08089,9.696415
303,2,1554.589099,9.42237,13.64135,4.21898,11.53186,2.10949,23.06372
304,1,777.294549,2.435563,2.435563,0,2.435563,0,2.435563
305,1,777.294549,23.953247,23.953247,0,23.953247,0,23.953247
306,1,777.294549,2.567137,2.567137,0,2.567137,0,2.567137
307,2,1554.589099,6.521021,7.271796,0.750775,6.896409,0.375387,13.792818
308,1,777.294549,2.642924,2.642924,0,2.642924,0,2.642924
309,2,1554.589099,12.109407,12.413041,0.303634,12.261224,0.151817,24.522449
310,1,777.294549,9.818662,9.818662,0,9.818662,0,9.818662
311,2,1554.589099,1.815848,2.117369,0.301521,1.966608,0.150761,3.933217
312,1,777.294549,2.835079,2.835079,0,2.835079,0,2.835079
313,1,777.294549,1.027432,1.027432,0,1.027432,0,1.027432
314,1,777.294549,1.452853,1.452853,0,1.452853,0,1.452853
315,1,777.294549,4.22897,4.22897,0,4.22897,0,4.22897
316,1,777.294549,3.10093,3.10093,0,3.10093,0,3.10093
317,2,1554.589099,6.152196,8.227297,2.075101,7.189746,1.03755,14.379493
318,2,1554.589099,12.186113,13.894101,1.707988,13.040107,0.853994,26.080215
319,1,777.294549,4.712132,4.712132,0,4.712132,0,4.712132
320,2,1554.589099,3.122055,3.646101,0.524046,3.384078,0.262023,6.768156
321,2,1554.589099,4.35111,5.046967,0.695856,4.699039,0.347928,9.398077
322,1,777.294549,4.712132,4.712132,0,4.712132,0,4.712132
323,2,1554.589099,0.513758,1.540942,1.027185,1.02735,0.513592,2.0547
324,2,1554.589099,7.307232,7.618418,0.311186,7.462825,0.155593,14.92565
325,2,1554.589099,0.513758,1.309637,0.795879,0.911697,0.39794,1.823394
326,1,777.294549,2.54137,2.54137,0,2.54137,0,2.54137
327,1,777.294549,19.666315,19.666315,0,19.666315,0,19.666315
328,2,1554.589099,30.772913,34.05687,3.283957,32.414891,1.641978,64.829782
329,2,1554.589099,9.388534,10.290966,0.902432,9.83975,0.451216,19.6795
330,1,777.294549,5.516378,5.516378,0,5.516378,0,5.516378
331,2,1554.589099,2.835079,8.950441,6.115363,5.89276,3.057681,11.78552
332,1,777.294549,4.006141,4.006141,0,4.006141,0,4.006141
333,2,1554.589099,4.72599,6.82214,2.09615,5.774065,1.048075,11.548131
334,1,777.294549,3.442335,3.442335,0,3.442335,0,3.442335
335,2,1554.589099,8.419976,10.851537,2.431561,9.635756,1.21578,19.271513
336,1,777.294549,3.10093,3.10093,0,3.10093,0,3.10093
337,1,777.294549,2.208719,2.208719,0,2.208719,0,2.208719
338,1,777.294549,13.428798,13.428798,0,13.428798,0,13.428798
339,1,777.294549,1.027432,1.027432,0,1.027432,0,1.027432
340,1,777.294549,1.452853,1.452853,0,1.452853,0,1.452853
341,2,1554.589099,22.436729,23.933748,1.497019,23.185239,0.748509,46.370478
342,2,1554.589099,2.567137,2.764596,0.197458,2.665866,0.098729,5.331733
343,1,777.294549,4.72599,4.72599,0,4.72599,0,4.72599
344,2,1554.589099,20.183041,20.553822,0.370781,20.368431,0.18539,40.736862
345,2,1554.589099,5.07278,5.516378,0.443598,5.294579,0.221799,10.589158
346,2,1554.589099,5.348341,11.260325,5.911984,8.304333,2.955992,16.608666
347,1,777.294549,4.134963,4.134963,0,4.134963,0,4.134963
348,1,777.294549,2.324922,2.324922,0,2.324922,0,2.324922
349,1,777.294549,7.924947,7.924947,0,7.924947,0,7.924947
350,2,1554.589099,0.513758,0.812289,0.298532,0.663023,0.149266,1.326047
351,2,1554.589099,3.122055,3.286134,0.164078,3.204094,0.082039,6.408189
352,2,1554.589099,1.540942,1.540942,0,1.540942,0,3.081884
353,2,1554.589099,1.815848,2.208719,0.392872,2.012283,0.196436,4.024567
354,2,1554.589099,1.955623,2.117369,0.161746,2.036496,0.080873,4.072992
355,1,777.294549,30.636707,30.636707,0,30.636707,0,30.636707
356,1,777.294549,22.773844,22.773844,0,22.773844,0,22.773844
357,2,1554.589099,4.862356,4.929098,0.066742,4.895727,0.033371,9.791454
358,2,1554.589099,4.134963,4.835396,0.700433,4.48518,0.350217,8.970359
359,1,777.294549,4.366134,4.366134,0,4.366134,0,4.366134
360,1,777.294549,2.9264,2.9264,0,2.9264,0,2.9264
