OBJECTID_1 *,OID_1,Order,Distance
542,539,2,323.606273
543,124,3,2136.48868
544,156,3,3109.630331
545,484,3,328.272255
546,418,2,2932.766337
547,493,2,4103.272553
548,437,2,2694.368197
549,397,3,199.43458
550,24,2,3683.874357
551,376,2,851.380062
552,190,2,4470.632407
553,386,2,3030.648919
554,201,2,7961.164429
555,237,2,4376.952411
556,268,2,206.397672
557,276,2,170.449998
558,569,2,2361.496867
559,106,3,1680.068436
560,227,3,638.996845
561,548,2,6115.915336
562,183,3,535.277123
563,549,4,2406.785993
564,295,3,1904.141937
565,355,2,3061.937495
566,131,3,551.284895
567,271,3,1949.093689
568,425,3,5562.167415
569,43,2,803.714842
570,742,2,1425.047794
571,1045,2,1331.894432
572,1110,2,1046.940606
573,1051,3,1457.152587
574,695,2,812.58381
575,1105,3,923.318769
576,781,3,529.0279
577,952,2,3131.747021
578,1056,2,2157.356632
579,613,3,850.792288
580,785,2,965.108342
581,905,2,3084.637759
582,1108,2,113.87169
583,759,3,617.621584
584,719,4,1631.173118
585,874,2,160.126702
586,879,3,1890.668171
587,774,2,4489.32318
588,929,3,662.552192
589,1049,3,212.532208
590,833,2,2066.925593
591,624,4,3611.83265
592,808,4,1070.784292
593,603,4,2681.387245
594,944,2,2502.117183
595,680,2,4941.91606
596,1019,2,3001.02931
597,911,3,643.074882
598,597,2,583.222089
599,1090,2,707.627071
600,691,4,5003.069692
601,806,4,1739.788353
602,792,4,518.080111
603,878,2,2532.368477
604,588,4,2294.882011
605,926,4,3082.040802
606,1071,3,1671.302389
607,934,4,1654.441561
608,821,3,1169.759241
609,1034,4,339.580113
610,807,4,353.361829
611,657,2,2955.421635
612,921,4,1340.562488
613,877,4,1245.793433
614,736,2,3804.816772
615,805,2,2148.057517
616,889,2,1888.315166
617,690,3,2113.583251
618,1120,3,2436.937933
619,570,2,5007.392261
620,621,2,4243.135818
621,965,4,222.327911
622,870,3,397.902286
623,1058,3,827.596072
624,576,4,688.924776
625,995,2,657.238948
626,649,3,947.011071
627,725,2,3104.243096
628,1030,4,387.633783
629,993,2,1678.488299
630,640,2,116.781417
631,968,5,2436.201838
632,834,2,95.600123
633,1032,2,1866.142118
634,956,2,2650.363269
635,723,2,491.810155
636,1025,2,2934.468921
637,631,2,4921.807951
638,1033,3,706.119872
639,869,2,3097.29573
640,1094,2,361.453816
641,1050,2,1866.772202
642,953,2,809.803816
643,948,3,898.721175
644,914,3,711.583728
645,629,2,3992.759944
646,659,3,133.690531
647,1063,2,2069.262481
648,1093,4,694.548992
649,1011,2,3441.633528
650,1028,4,1519.385924
651,609,2,1731.921877
652,658,5,344.011648
653,1089,3,422.44335
654,784,2,2711.00439
655,744,7,2962.568125
656,734,2,3353.692637
657,720,2,3124.390237
658,1081,4,332.558987
659,1047,7,1754.898692
660,1070,3,2548.889311
661,900,2,2926.44637
662,1084,5,1551.213707
663,895,2,3854.460528
664,779,3,773.287941
665,887,2,896.376894
666,600,2,2416.246577
667,768,7,2916.983178
668,763,2,484.273526
669,1041,2,1503.130288
670,752,2,460.607103
671,620,2,1490.96583
672,836,2,2667.855801
673,1117,7,958.248776
674,826,2,1024.19759
675,996,7,245.630128
676,865,2,332.166661
677,685,7,3714.935289
678,1031,7,725.651179
679,726,3,1596.643121
680,831,7,3498.913376
681,945,2,3234.362299
682,1021,7,718.890151
683,782,3,5001.975972
684,871,2,718.649743
685,992,2,396.614122
686,698,5,1473.272947
687,647,2,109.279091
688,757,3,520.991188
689,673,3,1018.376272
690,760,2,883.162814
