OBJECTID_1,RASTERVALU,SPMT,SPMT(1),SPMT(2)
2118,1,Siliceous loamy (2),2,2
2123,1,Siliceous loamy (2),2,2
2128,1,Siliceous loamy (2),2,2
2133,1,Siliceous loamy (2),2,2
2134,1,Siliceous loamy (2),2,2
2149,1,Siliceous loamy (2),2,2
2162,1,Siliceous loamy (2),2,2
2165,1,Siliceous loamy (2),2,2
2166,1,Siliceous loamy (2),2,2
2168,1,Siliceous loamy (2),2,2
2176,1,Siliceous loamy (2),2,2
2177,1,Siliceous loamy (2),2,2
2179,1,Siliceous loamy (2),2,2
2182,1,Siliceous loamy (2),2,2
2185,1,Siliceous loamy (2),2,2
2188,1,Siliceous loamy (2),2,2
2190,1,Siliceous loamy (2),2,2
2191,1,Siliceous loamy (2),2,2
2197,1,Siliceous loamy (2),2,2
2200,1,Siliceous loamy (2),2,2
2203,1,Siliceous loamy (2),2,2
2207,1,Siliceous loamy (2),2,2
2209,1,Siliceous loamy (2),2,2
2214,1,Siliceous loamy (2),2,2
2215,1,Siliceous loamy (2),2,2
2218,1,Siliceous loamy (2),2,2
2221,1,Siliceous loamy (2),2,2
2227,1,Siliceous loamy (2),2,2
2229,1,Siliceous loamy (2),2,2
2231,1,Siliceous loamy (2),2,2
2232,1,Siliceous loamy (2),2,2
2239,1,Siliceous loamy (2),2,2
2240,1,Siliceous loamy (2),2,2
2244,1,Siliceous loamy (2),2,2
2245,1,Siliceous loamy (2),2,2
2247,1,Siliceous loamy (2),2,2
2250,1,Siliceous loamy (2),2,2
2253,1,Siliceous loamy (2),2,2
2258,1,Siliceous loamy (2),2,2
2262,1,Siliceous loamy (2),2,2
2271,1,Siliceous loamy (2),2,2
2277,1,Siliceous loamy (2),2,2
2281,1,Siliceous loamy (2),2,2
2286,1,Siliceous loamy (2),2,2
2289,1,Siliceous loamy (2),2,2
2290,1,Siliceous loamy (2),2,2
2293,1,Siliceous loamy (2),2,2
2294,1,Siliceous loamy (2),2,2
2298,1,Siliceous loamy (2),2,2
2300,1,Siliceous loamy (2),2,2
2305,1,Siliceous loamy (2),2,2
2311,1,Siliceous loamy (2),2,2
2329,1,Siliceous loamy (2),2,2
2335,1,Siliceous loamy (2),2,2
2340,1,Siliceous loamy (2),2,2
2356,1,Siliceous loamy (2),2,2
2357,1,Siliceous loamy (2),2,2
2360,1,Siliceous loamy (2),2,2
2363,1,Siliceous loamy (2),2,2
2367,1,Siliceous loamy (2),2,2
2369,1,Siliceous loamy (2),2,2
2374,1,Siliceous loamy (2),2,2
2402,1,Siliceous loamy (2),2,2
2403,1,Siliceous loamy (2),2,2
2412,1,Siliceous loamy (2),2,2
2414,1,Siliceous loamy (2),2,2
2416,1,Siliceous loamy (2),2,2
2436,1,Siliceous loamy (2),2,2
2441,1,Siliceous loamy (2),2,2
2445,1,Siliceous loamy (2),2,2
2446,1,Siliceous loamy (2),2,2
2451,1,Siliceous loamy (2),2,2
2452,1,Siliceous loamy (2),2,2
2463,1,Siliceous loamy (2),2,2
2465,1,Siliceous loamy (2),2,2
2466,1,Siliceous loamy (2),2,2
