OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
173,2,1554.589099,16.699244,20.772255,4.073011,18.735749,2.036506,37.471498
174,2,1554.589099,306.347443,313.602814,7.255371,309.975128,3.627686,619.950256
175,2,1554.589099,334.179016,347.005371,12.826355,340.592194,6.413177,681.184387
176,1,777.294549,248.198593,248.198593,0,248.198593,0,248.198593
177,2,1554.589099,302.471191,333.434937,30.963745,317.953064,15.481873,635.906128
178,1,777.294549,190.407715,190.407715,0,190.407715,0,190.407715
179,2,1554.589099,347.905243,350.537689,2.632446,349.221466,1.316223,698.442932
180,1,777.294549,151.699249,151.699249,0,151.699249,0,151.699249
181,2,1554.589099,153.434952,156.801407,3.366455,155.118179,1.683228,310.236359
182,2,1554.589099,63.434948,353.659821,290.224873,208.547384,145.112436,417.094769
183,2,1554.589099,174.805573,191.309937,16.504364,183.057755,8.252182,366.115509
184,1,777.294549,14.743562,14.743562,0,14.743562,0,14.743562
185,2,1554.589099,123.111343,135,11.888657,129.055672,5.944328,258.111343
186,1,777.294549,270.707306,270.707306,0,270.707306,0,270.707306
187,1,777.294549,182.726318,182.726318,0,182.726318,0,182.726318
188,1,777.294549,315,315,0,315,0,315
189,2,1554.589099,127.303947,129.805573,2.501625,128.55476,1.250813,257.10952
190,2,1554.589099,192.264771,194.534454,2.269684,193.399612,1.134842,386.799225
191,1,777.294549,8.130101,8.130101,0,8.130101,0,8.130101
192,2,1554.589099,63.434948,71.565048,8.1301,67.499998,4.06505,134.999996
193,1,777.294549,210.96376,210.96376,0,210.96376,0,210.96376
194,1,777.294549,5.826341,5.826341,0,5.826341,0,5.826341
195,2,1554.589099,328.240509,340.083588,11.843079,334.162048,5.921539,668.324097
196,2,1554.589099,257.471191,270,12.528809,263.735596,6.264404,527.471191
197,1,777.294549,6.340191,6.340191,0,6.340191,0,6.340191
198,1,777.294549,34.562523,34.562523,0,34.562523,0,34.562523
199,1,777.294549,270,270,0,270,0,270
200,2,1554.589099,45,45,0,45,0,90
201,2,1554.589099,344.148071,345.784149,1.636078,344.96611,0.818039,689.93222
202,2,1554.589099,302.735229,321.072449,18.337219,311.903839,9.16861,623.807678
203,1,777.294549,67.833656,67.833656,0,67.833656,0,67.833656
204,2,1554.589099,123.690071,135,11.309929,129.345036,5.654964,258.690071
205,1,777.294549,261.253845,261.253845,0,261.253845,0,261.253845
206,2,1554.589099,135,135,0,135,0,270
207,1,777.294549,324.462311,324.462311,0,324.462311,0,324.462311
208,1,777.294549,306.869904,306.869904,0,306.869904,0,306.869904
209,1,777.294549,23.198589,23.198589,0,23.198589,0,23.198589
210,2,1554.589099,10.713122,78.690071,67.976949,44.701597,33.988474,89.403193
211,2,1554.589099,282.994629,303.690063,20.695435,293.342346,10.347717,586.684692
212,2,1554.589099,182.489548,192.094757,9.605209,187.292152,4.802605,374.584305
213,2,1554.589099,30.650667,45,14.349333,37.825334,7.174666,75.650667
214,2,1554.589099,183.652222,187.765167,4.112946,185.708694,2.056473,371.417389
215,1,777.294549,265.763611,265.763611,0,265.763611,0,265.763611
216,3,2331.883648,91.84761,113.198593,21.350983,102.680272,8.719336,308.040817
217,2,1554.589099,329.036255,333.434937,4.398682,331.235596,2.199341,662.471191
218,2,1554.589099,165.96376,198.434952,32.471191,182.199356,16.235596,364.398712
219,2,1554.589099,8.130101,26.56505,18.434949,17.347576,9.217474,34.695151
220,2,1554.589099,246.801407,264.805573,18.004166,255.80349,9.002083,511.606979
221,2,1554.589099,12.528807,47.862404,35.333597,30.195605,17.666799,60.391211
222,1,777.294549,3.012787,3.012787,0,3.012787,0,3.012787
223,2,1554.589099,246.801407,270,23.198593,258.400703,11.599297,516.801407
224,2,1554.589099,206.565048,210.96376,4.398712,208.764404,2.199356,417.528809
225,2,1554.589099,194.743561,196.821411,2.07785,195.782486,1.038925,391.564972
226,2,1554.589099,255.96376,279.462311,23.49855,267.713036,11.749275,535.426071
