OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
342,1554.589099,7.018521,7.973489,0.954968,7.496005,0.477484,14.992011
343,1554.589099,9.818662,14.081301,4.262639,11.949981,2.13132,23.899962
344,777.294549,4.835396,4.835396,0,4.835396,0,4.835396
345,777.294549,2.208719,2.208719,0,2.208719,0,2.208719
346,1554.589099,3.923451,4.054935,0.131484,3.989193,0.065742,7.978386
347,1554.589099,1.815848,2.9264,1.110552,2.371124,0.555276,4.742247
348,1554.589099,4.72599,11.226886,6.500896,7.976438,3.250448,15.952876
349,1554.589099,0.513758,0.812289,0.298532,0.663023,0.149266,1.326047
350,777.294549,9.773318,9.773318,0,9.773318,0,9.773318
351,777.294549,2.54137,2.54137,0,2.54137,0,2.54137
352,1554.589099,21.145386,21.754803,0.609417,21.450094,0.304708,42.900188
353,777.294549,3.079659,3.079659,0,3.079659,0,3.079659
354,1554.589099,6.907014,7.810448,0.903434,7.358731,0.451717,14.717462
355,1554.589099,5.187318,6.41065,1.223332,5.798984,0.611666,11.597969
356,1554.589099,23.88381,24.571259,0.687449,24.227534,0.343724,48.455069
357,1554.589099,1.309637,2.178696,0.86906,1.744167,0.43453,3.488333
358,777.294549,9.786297,9.786297,0,9.786297,0,9.786297
359,1554.589099,4.585495,6.183799,1.598304,5.384647,0.799152,10.769294
360,777.294549,7.262909,7.262909,0,7.262909,0,7.262909
361,1554.589099,3.10093,4.929098,1.828168,4.015014,0.914084,8.030028
362,1554.589099,15.939865,23.864225,7.92436,19.902045,3.96218,39.80409
363,1554.589099,1.027432,1.955623,0.928191,1.491528,0.464095,2.983055
364,777.294549,10.61101,10.61101,0,10.61101,0,10.61101
365,1554.589099,8.297206,8.304935,0.00773,8.301071,0.003865,16.602141
366,777.294549,11.210125,11.210125,0,11.210125,0,11.210125
367,1554.589099,9.529782,12.571609,3.041826,11.050695,1.520913,22.101391
368,1554.589099,7.949257,11.540248,3.590991,9.744752,1.795496,19.489505
369,777.294549,20.366848,20.366848,0,20.366848,0,20.366848
370,777.294549,2.117369,2.117369,0,2.117369,0,2.117369
371,1554.589099,9.258744,10.425115,1.16637,9.841929,0.583185,19.683859
372,1554.589099,7.618418,9.293088,1.67467,8.455753,0.837335,16.911506
373,1554.589099,1.309637,1.497547,0.18791,1.403592,0.093955,2.807184
