Site,Type,Latitude,Longitude
Ribeira do Alvorão 8,Open air,39.519935,-8.551559
Ribeira do Alvorão 9,Lithic scatter,39.520828,-8.553774
Santa Cita,Open air,39.552415,-8.390347
Santa Cruz de Benfica,Lithic scatter,38.746449,-9.208532
Santo Amaro de Oeiras,Lithic scatter,38.688548,-9.308607
Santo Antão do Tojal,Open air,38.858704,-9.142759
São Miguel 2,Lithic scatter,38.739277,-9.295304
Sapateiros 2,Open air,38.404792,-7.381971
Sapec 2,Lithic scatter,38.500362,-8.828988
Salto do Boi,Open air,40.980511,-7.099275
Serra de Carnaxide - Alfragide Primeiro,Lithic scatter,38.737018,-9.239443
Serranos I,Open air,39.652697,-7.615781
Tapada do Montinho,Open air,36.912013,-9.948907
Terraços de Almancil,Undetermined,37.076439,-8.04109
Terras do Areeiro,Open air,38.427921,-9.20151
Tojal de Baixo/Vale da Mata 1,Isolated finding,39.635373,-8.842616
Trajouce 2,Undetermined,38.736001,-9.34644
Trajouce 3,Open air,38.744118,-9.345427
Vale Celhão,Lithic scatter,39.04233,-8.67415
Vale da Água Mar,Lithic scatter,39.074688,-8.669648
Vale da Azinheira 6,Open air,39.784487,-8.471188
Vale da Porta 1,Open air,40.282224,-8.552772
Vale da Porta 2,Open air,40.283044,-8.55761
Vale da Porta 3,Open air,40.284722,-8.554163
Vale da Porta 4,Open air,40.284724,-8.551106
Vale da Porta 5,Open air,40.284724,-8.551106
Vale da Porta 8,Open air,40.287779,-8.558051
Vale da Porta 9,Open air,40.285,-8.561938
Vale de Campanas,Open air,39.414524,-9.253006
Vale do Forno 8,Open air,39.244917,-8.577811
Vale do Pardo I,Open air,39.668063,-9.062674
Vale Esteveira,Lithic scatter,39.05677,-8.666231
Vale Santo,Open air,37.037976,-8.963708
Vale Pinheirinho I,Lithic scatter,39.370837,-9.228044
Valejas,Lithic scatter,38.73428,-9.26385
Várzea do Almargem,Lithic scatter,38.857508,-9.284567
Vilas Ruivas,Open air,39.641951,-7.69926
Vinhas,Undetermined,35.665533,-9.614594
Xerez de Baixo / Xarez 11,Lithic scatter,38.403494,-7.384686
Zurrague 2,Lithic scatter,39.642524,-8.509824
